seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences
0,8,800,0.34119808388360295,1,0.2,0.3,0.2,0.3,True,155,2
1,8,800,0.3588859342379301,1,0.2,0.3,0.2,0.3,True,319,2
2,8,800,0.3171181476121609,1,0.2,0.3,0.2,0.3,True,382,2
3,8,800,0.26951837689391955,1,0.2,0.3,0.2,0.3,True,102,2
4,8,800,0.3574571946729065,1,0.2,0.3,0.2,0.3,True,240,2
5,8,800,0.3916718374686618,1,0.2,0.3,0.2,0.3,True,59,2
6,8,800,0.401014328393578,1,0.2,0.3,0.2,0.3,True,76,2
7,8,800,0.3323823078735448,1,0.2,0.3,0.2,0.3,True,190,2
8,8,800,0.3203217679513454,1,0.2,0.3,0.2,0.3,True,142,2
9,8,800,0.32949293404750707,1,0.2,0.3,0.2,0.3,True,75,2
